OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
1;1,22001E+19;12;0;68;468;2020;1;11;5;2;1;7;0;0;0;0;0;1;0;735840,4367;5887204,802;12,52151918;53,08213283;0
2;1,22001E+19;12;0;61;112;2020;1;17;2;3;6;2;0;0;1;1;0;0;0;814106,9919;5811960,55;13,61460865;52,36767768;0
3;1,22001E+19;12;0;67;144;2020;1;16;5;3;5;2;0;1;1;0;0;0;0;845207,3757;5811964,177;14,0696612;52,34902113;1
4;1,22001E+19;12;0;69;76;2020;1;11;6;3;5;3;0;0;1;0;0;0;0;756844,834;5787696,063;12,75707484;52,17983;1
5;1,22001E+19;12;0;62;224;2020;1;16;6;3;3;2;1;1;1;0;0;0;0;793616,4896;5735748,046;13,24913245;51,69573022;0
6;1,22001E+19;12;0;68;320;2020;1;7;2;3;5;3;1;1;1;0;0;0;0;756494,98;5872221,587;12,81731427;52,93822731;0
7;1,22001E+19;12;0;66;196;2020;1;7;3;2;8;1;0;0;1;0;0;0;0;842046,0221;5756948,652;13,96822774;51,85824796;1
8;1,22001E+19;12;0;67;40;2020;1;13;3;2;2;6;0;0;0;0;0;1;0;854931,7173;5811354,805;14,21119611;52,33736328;0
9;1,22001E+19;12;0;65;198;2020;1;20;6;3;7;7;2;0;1;0;0;0;0;787499,5736;5868790,633;13,27438168;52,89177382;1
10;1,22001E+19;12;0;54;0;2020;1;14;7;3;5;3;0;1;1;0;0;0;0;777002,1813;5813905,675;13,07269549;52,40512881;1
11;1,22001E+19;12;0;61;433;2020;1;5;6;1;0;7;2;0;0;0;0;1;0;810365,2426;5806241,544;13,55454703;52,31855474;0
12;1,22001E+19;12;0;61;320;2020;1;10;4;3;5;3;0;0;1;0;0;0;0;826264,5703;5755426,825;13,7384326;51,85405556;1
13;1,22001E+19;12;0;61;540;2020;1;19;3;3;3;6;2;0;1;0;0;1;0;815407,0959;5805636,577;13,62770889;52,31026189;0
14;1,22001E+19;12;0;61;433;2020;1;15;7;3;2;6;0;0;1;0;0;0;0;807345,741;5814804,215;13,51822254;52,39699542;1
15;1,22001E+19;12;0;69;306;2020;1;18;5;3;1;5;2;0;1;0;0;0;0;751205,1538;5805355,854;12,68790301;52,34086934;0
16;1,22001E+19;12;0;69;616;2020;1;15;5;2;5;3;0;1;1;0;0;0;0;791840,6261;5815217,422;13,29135753;52,40918193;0
17;1,22001E+19;12;0;69;604;2020;1;7;6;3;5;2;1;1;1;0;0;0;0;785491,0328;5812181,309;13,19567789;52,38530767;1
18;1,22001E+19;12;0;67;144;2020;1;7;3;3;5;2;1;1;1;0;0;0;0;845329,402;5811708,651;14,07118311;52,34665607;1
19;1,22001E+19;12;0;70;416;2020;1;13;3;2;4;6;0;0;1;0;0;1;0;687485,7046;5879806,258;11,79625178;53,03487023;0
20;1,22001E+19;12;0;69;590;2020;1;19;7;3;1;5;2;0;1;0;0;0;0;769414,8699;5808964,591;12,9574634;52,36459914;0
21;1,22001E+19;12;0;71;32;2020;1;11;3;3;6;4;0;0;1;1;0;0;0;854484,2692;5755220,604;14,14635085;51,83501898;1
22;1,22001E+19;12;0;67;120;2020;1;18;3;3;2;6;2;0;1;0;0;0;0;885435,3119;5792142,283;14,63490718;52,14491375;0
23;1,22001E+19;12;0;62;140;2020;1;6;6;3;8;1;2;0;1;0;0;0;0;825846,1325;5728197,231;13,70690633;51,61029945;2
24;1,22001E+19;12;0;64;336;2020;1;8;4;3;1;5;0;0;1;0;0;0;0;817358,6586;5829556,424;13,67892036;52,5234715;1
25;1,22002E+19;12;0;72;312;2020;2;5;1;3;8;1;2;0;1;0;0;0;0;793665,746;5775016,835;13,28322343;52,04779687;0
26;1,22001E+19;12;0;60;181;2020;1;2;3;3;9;1;2;0;1;0;0;0;0;807495,5558;5840305,685;13,54397779;52,62545649;2
27;1,22001E+19;12;0;54;0;2020;1;21;6;3;6;4;2;0;1;1;0;0;0;776578,4643;5812069,096;13,06496653;52,38887312;1
28;1,22001E+19;12;0;68;320;2020;1;12;5;3;6;4;0;0;1;1;0;0;0;755102,1776;5869404,848;12,79442256;52,91362508;1
29;1,22001E+19;12;0;67;137;2020;1;16;5;2;9;1;0;0;1;0;0;0;0;859759,1321;5788750,498;14,2577179;52,13185519;0
30;1,22001E+19;12;0;71;76;2020;1;7;6;3;2;6;1;0;1;0;0;0;0;888325,8418;5744929,447;14,62371469;51,72046233;1
31;1,22001E+19;12;0;51;0;2020;1;6;2;2;6;3;2;0;0;1;0;0;1;742768,8832;5811799,647;12,56897959;52,40248683;0
32;1,22001E+19;12;0;66;112;2020;1;14;2;3;5;3;0;1;1;0;0;0;0;847045,226;5727012,997;14,01073824;51,58703695;0
33;1,22001E+19;12;0;69;604;2020;1;7;5;3;1;5;1;0;1;0;1;0;0;786231,2295;5812871,253;13,20711344;52,39110761;0
34;1,22001E+19;12;0;61;316;2020;1;7;3;2;4;6;2;0;1;0;0;0;0;830550,2916;5766070,824;13,81063955;51,94690055;1
35;1,22001E+19;12;0;72;477;2020;1;5;5;2;4;3;2;0;1;0;0;0;1;805707,7937;5789377,095;13,471178;52,17000889;1
36;1,22002E+19;12;0;72;17;2020;2;20;7;2;9;1;2;0;1;0;0;0;0;798469,794;5807471,636;13,38163951;52,33617471;1
37;1,22001E+19;12;0;61;20;2020;1;12;7;2;0;1;0;1;0;0;0;0;0;816352,2096;5798159,415;13,63451717;52,24271523;1
38;1,22001E+19;12;0;69;454;2020;1;16;2;3;2;6;2;0;1;0;0;0;0;783073,8737;5807296,164;13,15613682;52,3427581;0
39;1,22001E+19;12;0;60;100;2020;1;23;6;3;7;1;2;0;1;0;0;0;0;825381,0761;5877892,081;13,8446311;52,95173512;1
40;1,22001E+19;12;0;53;0;2020;1;9;6;3;8;1;0;0;1;0;0;0;0;872910,5622;5811420,669;14,47396401;52,32603962;2
41;1,22001E+19;12;0;72;17;2020;1;16;3;3;2;6;2;0;1;0;0;0;0;803196,6321;5804860,083;13,44845303;52,31017614;1
42;1,22002E+19;12;0;73;532;2020;2;18;1;3;9;1;2;0;1;0;0;0;0;850132,8868;5894468,601;14,22951415;53,08456649;1
43;1,22001E+19;12;0;68;181;2020;1;13;3;3;8;6;0;0;1;0;0;0;1;728973,3809;5885344,368;12,41786047;53,0684261;1
44;1,22001E+19;12;0;53;0;2020;1;16;6;3;3;6;2;0;1;0;0;0;0;878173,1153;5814221,053;14,55397071;52,34750085;1
45;1,22001E+19;12;0;62;240;2020;1;15;4;3;8;1;0;0;1;0;0;0;0;816355,2858;5714996,84;13,55841809;51,49739255;0
46;1,22001E+19;12;0;61;316;2020;1;6;4;3;5;3;2;0;1;0;0;0;0;836330,696;5764671,161;13,89306804;51,93090021;1
47;1,22001E+19;12;0;60;198;2020;1;10;2;2;1;1;0;0;1;0;0;1;0;817752,2686;5871120,574;13,72484823;52,89563859;0
48;1,22001E+19;12;0;68;181;2020;1;6;2;2;8;1;2;0;1;0;0;0;0;723294,638;5896512,995;12,34102417;53,17105593;2
